species;species2;occ;habitat;kvadrat;x;y;temperature;precipitation;artificalSurfaces;agricultur;water;forest
Actitis hypoleucos;Common sandpiper;0;water;4952;-728666;-936922;111;60;1;21.06617188;0;13.06340091
Actitis hypoleucos;Common sandpiper;0;water;5052;-730183;-947943;108;61;1;43.32639612;0;43.78852736
Actitis hypoleucos;Common sandpiper;1;water;5053;-718578;-949527;109;60;1;40.485024;0;17.06445645
Actitis hypoleucos;Common sandpiper;1;water;5056;-683740;-954123;115;61;1;82.10311912;0;25.3420262
Actitis hypoleucos;Common sandpiper;0;water;5057;-672120;-955603;107;65;1;37.62999704;0;26.59822905
Actitis hypoleucos;Common sandpiper;0;water;5158;-661867;-968099;81;78;0;0.56052835;0;12.22045663
Actitis hypoleucos;Common sandpiper;1;water;5151;-743326;-957351;112;59;1;18.7889999;0;54.69123176
Actitis hypoleucos;Common sandpiper;0;water;5152;-731699;-958965;111;59;1;31.63352458;0;67.87115169
Actitis hypoleucos;Common sandpiper;1;water;5153;-720070;-960552;103;61;1;28.90945631;0.269759;60.30082501
Actitis hypoleucos;Common sandpiper;0;water;5154;-708436;-962113;111;59;1;13.97430748;0;22.61439113
Actitis hypoleucos;Common sandpiper;0;water;5155;-696799;-963648;115;59;1;61.8989753;0;16.4081692
Actitis hypoleucos;Common sandpiper;1;water;5156;-685158;-965158;103;64;1;46.84607783;0.239514;57.99558156
Actitis hypoleucos;Common sandpiper;1;water;5157;-673514;-966641;83;74;1;9.194006978;1.613479;76.8840952
Actitis hypoleucos;Common sandpiper;0;water;5249;-768157;-965057;93;67;1;47.60439203;0.333598;33.01666178
Actitis hypoleucos;Common sandpiper;0;water;5250;-756514;-966726;104;61;1;65.97179856;0;43.20622212
Actitis hypoleucos;Common sandpiper;1;water;5251;-744867;-968369;113;58;1;61.61207038;0;36.59708649
Actitis hypoleucos;Common sandpiper;1;water;5252;-733216;-969985;112;58;1;83.41017772;0;27.56931016
Actitis hypoleucos;Common sandpiper;0;water;5253;-721562;-971576;113;58;1;67.65890004;0;38.77096796
